table_name, export_requried,truncate_required,import_required
"#PRINTERS Export,  Truncate & Import",,,
TSP03,yes,yes,yes
TSP03A,yes,yes,yes
TSP03C,yes,yes,yes
TSP03D,yes,yes,yes
TSP03L,yes,yes,yes
TSP03POCCNF,yes,yes,yes
TSP03POCPRE,yes,yes,yes
TSP03T,yes,yes,yes
TSPCMDS,yes,yes,yes
TSPLOMS,yes,yes,yes
TSPROMS,yes,yes,yes
TSPSV,yes,yes,yes
"#SICF Export,  No Truncate & Import",,,
ICFAPPLICATION,yes,no,no
ICFDOCU,yes,no,no
ICFHANDLER,yes,no,no
ICFINSTACT,yes,no,no
ICFSECPASSWD,yes,no,no
ICFSERVICE,yes,no,no
ICFSERVLOC,yes,no,no
ICFVIRHOST,yes,no,no
#Export  Truncate & Import,,,
HTTPURLLOC,yes,yes,yes
#BI No Export & Import and Truncate,,,
RSTPRFC,no,yes,no
RSPOR_T_PORTAL,no,yes,no
#TMSQualityApprovalSettings  No Export  Import & Truncate,,,
TMSQLASTWL,no,yes,no
TMSQNOTES,no,yes,no
TMSQNOTESH,no,yes,no
TMSQWL,no,yes,no
TMSQWLF,no,yes,no
TMSQWLFH,no,yes,no
TMSQWLH,no,yes,no
#Export  Truncate & Import,,,
E070L,yes,yes,yes
#DeveloperKeys No Export, Import & Truncate,,
DEVACCESS,no,no,no
#Exportlogongroups Export  Truncate & Import,,,
RZLLITAB,yes,yes,yes
RZLLICLASS,yes,yes,yes
#Exportoperationmodes Export  Truncate & Import,,,
TPFBA,yes,yes,yes
BTCOMSDL,yes,yes,yes
BTCOMSET,yes,yes,yes
TPFID,yes,yes,yes
#ExportSTRUSTSSO2certificates Export  Truncate & Import,,,
SSF_PSE_D,yes,yes,yes
SSF_PSE_H,yes,yes,yes
"#Exportmailsettings Export,  Truncate & Import",,,
SXROUTE,yes,yes,yes
SXNODES,yes,yes,yes
#User Master Export & Import No Truncate,,,
USR01,YES,no,yes
USR02,YES,no,yes
USR03,YES,no,yes
USR04,YES,no,yes
AGR_USERS,YES,no,yes
UST04,YES,no,yes
USR10,YES,no,yes
ADR6,YES,no,yes
ADR2,YES,no,yes
USR21,YES,no,yes
#SecurityTables Export & Import No Trucate,,,
USH12,yes,no,yes
USH10,yes,no,yes
USH04,yes,no,yes
USH02,yes,no,yes
USGRP,yes,no,yes
USGRP_USER,yes,no,yes
USGRPT,yes,no,yes
